,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__kernel,param_union__errors__tfidf__norm,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,1.2669752597808839,0.06363525390625,0.14354995150339475,0.21138475880682303,1,linear,,"{'clf__C': 1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': None}",5,0.14234016887816647,0.212443095599393,0.1388888888888889,0.21177184466019416,0.12727272727272726,0.2076386783873901,0.14720194647201945,0.2159297395517868,0.16219512195121952,0.20914043583535108,0.05450403046542281,0.0006364451424153998,0.011377206419908732,0.00286345477720931
12,0.3991734981536865,0.06632890701293945,0.1059650824442289,0.10535894294043158,1,poly,l1,"{'clf__C': 1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l1'}",28,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11515151515151516,0.11154895422855411,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.0035690294098474355,0.0005670825994396776,0.0045963566606247366,0.003095231079862537
13,0.39772329330444334,0.06595687866210938,0.10499515033947623,0.10511644521384778,1,poly,l2,"{'clf__C': 1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l2'}",33,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.1103030303030303,0.11033646559563504,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.003417612515851447,0.0009051298193294364,0.0026585701713323206,0.002610277513511648
14,0.4190864086151123,0.06517963409423828,0.12293889427740058,0.2966227437027675,1,poly,,"{'clf__C': 1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': None}",23,0.12424607961399277,0.2977238239757208,0.11714975845410629,0.30461165048543687,0.12727272727272726,0.3022127917550773,0.12408759124087591,0.2901271956390067,0.12195121951219512,0.2884382566585956,0.002444853195218014,0.001000739785482647,0.0033595555148261346,0.006410329467377545
15,0.6048777580261231,0.09305706024169921,0.11081474296799224,0.11039116227318721,1,rbf,l1,"{'clf__C': 1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l1'}",25,0.10856453558504221,0.10925644916540213,0.10628019323671498,0.11074029126213593,0.11515151515151516,0.11518642012731131,0.11192214111922141,0.10841913991520291,0.11219512195121951,0.10835351089588378,0.010908864015651602,0.001987320978576201,0.0030873876355136287,0.0025473459950018183
16,0.6028216361999512,0.092108154296875,0.12172647914645975,0.12215143360063345,1,rbf,l2,"{'clf__C': 1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l2'}",24,0.12545235223160434,0.12078907435508346,0.11352657004830918,0.125,0.12242424242424242,0.12185510760836617,0.12043795620437957,0.12265293761356753,0.12682926829268293,0.12046004842615012,0.006384119948294707,0.0012232892722981712,0.004679332580733824,0.0016229881344409054
17,0.5823709011077881,0.09252409934997559,0.14936954413191075,0.29691929037733483,1,rbf,,"{'clf__C': 1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': None}",1,0.1471652593486128,0.291350531107739,0.15579710144927536,0.30066747572815533,0.1406060606060606,0.297362837223401,0.14963503649635038,0.2961841308298001,0.15365853658536585,0.2990314769975787,0.004916979346829306,0.0011406658203723327,0.005320400486220114,0.00317044157525537
18,0.46445574760437014,0.06472387313842773,0.1345780795344326,0.19422975239504872,10,linear,l1,"{'clf__C': 10, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l1'}",18,0.13027744270205066,0.19635811836115327,0.14251207729468598,0.19114077669902912,0.12727272727272726,0.19915125795695665,0.14233576642335766,0.19170199878861297,0.13048780487804879,0.19279661016949154,0.004201298444149771,0.0017728837001930629,0.006508051942294153,0.003057331008107776
19,0.6219831466674804,0.06368832588195801,0.14161008729388944,0.20550151820330234,10,linear,l2,"{'clf__C': 10, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l2'}",10,0.13872135102533173,0.19878603945371776,0.14492753623188406,0.20782766990291263,0.13090909090909092,0.20248560169748409,0.1411192214111922,0.2104784978800727,0.1524390243902439,0.20792978208232446,0.011879273941353187,0.0003310556250080862,0.007082345894384444,0.00424902767948004
20,8.827138566970826,0.06413779258728028,0.14451988360814744,0.2129008850023732,10,linear,,"{'clf__C': 10, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': None}",2,0.14354644149577805,0.21517450682852807,0.1388888888888889,0.21237864077669902,0.13333333333333333,0.2094574113367687,0.14841849148418493,0.21986674742580253,0.15853658536585366,0.2076271186440678,1.044925305960594,0.0011991354397012399,0.00858399553844313,0.004327480953845275
21,0.3959207057952881,0.06623859405517578,0.1059650824442289,0.10535894294043158,10,poly,l1,"{'clf__C': 10, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l1'}",28,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11515151515151516,0.11154895422855411,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.00403238564430046,0.00031565663303045606,0.0045963566606247366,0.003095231079862537
22,0.3955991268157959,0.06554079055786133,0.10499515033947623,0.10511644521384778,10,poly,l2,"{'clf__C': 10, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l2'}",33,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.1103030303030303,0.11033646559563504,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.006101781185147121,0.0005269642835448922,0.0026585701713323206,0.002610277513511648
23,0.4460688591003418,0.06510038375854492,0.1309408341416101,0.46847783333118265,10,poly,,"{'clf__C': 10, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': None}",21,0.1278648974668275,0.4652503793626707,0.13768115942028986,0.4723907766990291,0.13454545454545455,0.47226432252197637,0.12165450121654502,0.4630526953361599,0.1329268292682927,0.46943099273607747,0.005229746753642718,0.0002669822873735609,0.005621008884145923,0.003752485054654149
24,0.5948666095733642,0.09153661727905274,0.14233753637245392,0.1848924213175372,10,rbf,l1,"{'clf__C': 10, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l1'}",9,0.1519903498190591,0.18179059180576632,0.1497584541062802,0.18325242718446602,0.12484848484848485,0.18914822673537435,0.13381995133819952,0.18746214415505755,0.15121951219512195,0.18280871670702178,0.00866224709155626,0.0007158217828802268,0.011005538621280928,0.0028763903489147477
